,key_0,type,size,age,gender,has_name,spay_neuter,intake_condition,pit_bull,intake_location,adopt_return,adopt_return_predict_proba,latitude,longitude
148,148,DOG,TOY,8.0,Female,0,1,UNKNOWN,0,SANTA ROSA,1,0.17552723,38.458384,-122.675588
149,149,DOG,MED,5.0,Male,1,0,HEALTHY,1,SONOMA COUNTY,0,0.0069242385,38.446019,-122.766748
150,150,DOG,SMALL,7.0,Female,1,1,UNKNOWN,0,SANTA ROSA,0,0.047611237,38.458965,-122.630156
151,151,DOG,MED,3.0,Female,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.403734,-122.736775
152,152,DOG,MED,2.0,Male,0,0,UNKNOWN,1,SONOMA COUNTY,0,0.0069242385,38.403734,-122.736775
153,153,DOG,LARGE,,Male,1,1,UNKNOWN,1,SANTA ROSA,0,0.012686619,38.486997,-122.749134
154,154,DOG,SMALL,10.0,Female,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.486997,-122.749134
155,155,DOG,SMALL,7.0,Female,1,1,HEALTHY,0,SANTA ROSA,0,0.103793286,38.446019,-122.766748
156,156,DOG,MED,5.0,Male,1,0,UNKNOWN,1,SANTA ROSA,0,0.0069242385,38.446019,-122.766748
157,157,CAT,SMALL,4.0,Female,0,1,UNKNOWN,0,SONOMA COUNTY,0,0.055420294,,
158,158,DOG,MED,2.0,Male,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.486997,-122.749134
159,159,DOG,LARGE,,Male,1,1,HEALTHY,1,SONOMA COUNTY,0,0.013261708,38.446019,-122.766748
160,160,DOG,LARGE,5.0,Male,1,0,HEALTHY,1,SANTA ROSA,0,0.0069242385,38.446019,-122.766748
161,161,CAT,SMALL,6.0,Female,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.486997,-122.749134
162,162,DOG,MED,,Male,1,0,UNKNOWN,1,SONOMA COUNTY,0,0.0069242385,38.510032,-122.996796
163,163,OTHER,SMALL,,Unknown,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,,
164,164,CAT,SMALL,5.0,Male,0,1,HEALTHY,0,SANTA ROSA,0,0.08758536,38.618857,-122.861927
165,165,CAT,SMALL,5.0,Male,0,1,HEALTHY,0,SONOMA COUNTY,0,0.06252344,38.618857,-122.861927
166,166,DOG,MED,,Male,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.486997,-122.749134
167,167,CAT,SMALL,14.0,Female,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,,
168,168,DOG,LARGE,3.0,Female,0,0,UNKNOWN,1,SANTA ROSA,0,0.0069242385,,
169,169,DOG,MED,5.0,Female,0,1,UNTREATABLE,1,SANTA ROSA,0,0.28655767,,
170,170,DOG,TOY,2.0,Female,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.446019,-122.766748
171,171,DOG,SMALL,7.0,Female,1,1,HEALTHY,0,SANTA ROSA,0,0.103793286,38.458965,-122.630156
172,172,DOG,MED,,Female,0,0,UNTREATABLE,1,SANTA ROSA,0,0.0069242385,,
173,173,DOG,MED,2.0,Male,1,0,UNKNOWN,1,SONOMA COUNTY,0,0.0069242385,38.403734,-122.736775
174,174,DOG,LARGE,7.0,Male,1,1,UNKNOWN,1,SONOMA COUNTY,0,0.035328303,38.729916,-122.883041
175,175,DOG,MED,3.0,Male,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,,
176,176,DOG,LARGE,3.0,Male,1,1,HEALTHY,1,SANTA ROSA,0,0.10508527,38.618857,-122.861927
177,177,CAT,KITTEN,1.0,Male,0,1,HEALTHY,0,SANTA ROSA,0,0.036917914,,
178,178,DOG,MED,6.0,Male,0,1,HEALTHY,1,SANTA ROSA,0,0.17255735,,
179,179,DOG,MED,4.0,Male,1,1,UNKNOWN,0,SONOMA COUNTY,0,0.08837992,38.618857,-122.861927
180,180,DOG,SMALL,7.0,Female,1,1,HEALTHY,0,SANTA ROSA,0,0.103793286,38.458965,-122.630156
181,181,CAT,KITTEN,7.0,Male,1,1,TREATABLE/REHAB,0,SANTA ROSA,0,0.023545833,38.541541,-122.809202
182,182,DOG,MED,5.0,Male,1,0,HEALTHY,1,SONOMA COUNTY,0,0.0069242385,38.446019,-122.766748
183,183,DOG,MED,3.0,Female,1,0,HEALTHY,0,SONOMA COUNTY,0,0.0069242385,38.403734,-122.736775
184,184,OTHER,SMALL,,Female,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.486997,-122.749134
185,185,DOG,LARGE,16.0,Female,1,1,HEALTHY,0,SANTA ROSA,0,0.026862193,38.486997,-122.749134
186,186,DOG,SMALL,,Male,1,1,UNKNOWN,0,SONOMA COUNTY,0,0.014657889,38.280393,-122.464588
187,187,CAT,SMALL,,Female,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,,
188,188,CAT,SMALL,,Male,0,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,,
189,189,CAT,SMALL,,Unknown,0,0,TREATABLE/REHAB,0,SONOMA COUNTY,0,0.0069242385,,
190,190,DOG,SMALL,,Male,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,,
191,191,DOG,SMALL,16.0,Female,1,1,UNKNOWN,0,SANTA ROSA,0,0.020026276,38.790859,-123.010876
192,192,DOG,MED,14.0,Female,1,1,UNKNOWN,0,SANTA ROSA,0,0.017879058,38.403734,-122.736775
